楚,tschyó,tschyò,,,,,,
錯,tshak,tshò,,,,,,
厝,tshak,tshò,,,,,,
蔟,tshù,tshuk,,,,,,
矗,tchyuk,tschyuk,,,,,,
𪘏,tschrök,tschyuk,,,,,,
趗,tshuk,tshyok,,,,,,
㹱,tshyak,tshyok,,,,,,
躦,dzuan,dzö,,,,,,訓“䠡”
竄,tshuan,tshuàn,,,,,,
爨,tshuan,tshuàn,,,,,,
崔,tshuöi,dzuöi,,,,,,
襊,tshuat,tshuàj,,,,,,
㯔,tshvèj,tschüèj,,,,,,
毳,tshvèj,tschüèj,,,,,,
𣃍,tshvèj,tschüèj,,,,,,
䍎,tshièn,tshùon,,,,,,
趍,dcyï,tshüo,,,,,,“趨”之誤
取,tshú,tshüó,,,,,,
坥,tshyo,tshyò,,,,,,
䏣,tshyo,tshyò,,,,,,
趣,tshú,tshüò,,,,,,
輇,dzjvän,tshvän,,,,,,
縓,tshvän,tshvä̀n,,,,,,
脞,tshuö́,tshüö,,,,,,
膬,tshvèj,tshvät,,,,,,
絟,tshvän,tshvät,,,,,,
嵯,dzö,tschyï,,,,,,
郪,tshiei,tshi,,,,,,
齹,dzö,dzcyï,,,,,,
𥿆,dzi,zy,,,,,,
泚,tshiéi,tshiḯ,,,,,,
刺,tshiäk,tshiï̀,,,,,,
蛓,tshiï̀,tshỳ,,,,,,
褡,töp,tap,,,,,,
鐺,tschräng,tang,,,,,,
耽,töm,tö́m,,,,,,
𡖓,töm,tö́m,,,,,,
擔,tam,tàm,,,,,,
醰,dö̀m,dö́m,,,,,,
贉,dö̀m,dö́m,,,,,,
啖,dàm,dám,,,,,,
啗,dàm,dám,,,,,,
憺,dàm,dám,,,,,,
儅,tang,tàng,,,,,,
當,tang,tàng,,,,,,
擋,táng,tàng,,,,,,
瓽,táng,tàng,,,,,,
疸,tán,tàn,,,,,,
澶,dzjiän,dàn,,,,,,
嵣,dàng,dáng,,,,,,
幬,dcyu,dàu,,,,,,
儔,dcyu,dàu,,,,,,
禱,táu,tàu,,,,,,
倒,táu,tàu,,,,,,
䙷,ngö̀i,tëk,,,,,,
等,tö́i,të́ng,,,,,,
橙,dcreng,të̀ng,,,,,,
僜,tchyng,dë̀ng,,,,,,
岻,dcyi,tiei,,,,,,
揥,tchyèj,tiei,,,,,,
腣,tiei,tièi,,,,,,
趆,tiei,tièi,,,,,,
弟,diéi,dièi,,,,,,
悌,diéi,dièi,,,,,,
娣,diéi,dièi,,,,,,
